title,price,condition,link
Lot 12 Pairs Mens Womens Ankle/Quarter Crew Socks Sport Casual Cotton Socks US,4.59 to 11.95,Brand New,https://www.ebay.com/itm/374220834292?hash=item57214cc5f4:g:qD0AAOSwJsdjADRK&amdata=enc%3AAQAHAAAAwAHyfSh3Te9K39zkpXFHUXnDF5QRV79HvVzCZcBaRo2e67lqIgXaCHm8RSC6ZIj%2BhaOf0gvRZWnXlDIgSWdbveoYKC%2FVLf2xXocvlEFT9pcyN%2F0j0niisMNf1dtLHMO8m9bOvdzv9Pky7ABbb%2Be7BZJGs04scUMsQUHIzihe%2Bdt2CGNCYm%2FSIybmfy1RmRGmH3I6D1cFwyY4lO12HpJaWKmZd8TMLYB8itdfidskh7TGhmJBZPU2dwnTbchUJGwVCw%3D%3D%7Ctkp%3ABk9SR_Ct-ZPfYQ
Nike DRI-FIT Elite NBA 19 Basketball Socks - Mid/Full Length - US 8~12 - L,19.99,Brand New,https://www.ebay.com/itm/134344100875?hash=item1f47884c0b:g:g3MAAOSwYD5kCAmk&amdata=enc%3AAQAHAAAA4NTSDAIHv8FmIW0iACMEg3sEd5Ln4s1ziFivbRziMnI5Kbgpf7begnxMzRGhrsbnW8GsBfM5VBWiSi00%2Ff7c8PJy3VM3ctyvaZtN781wcnnma%2B6EUIjztuguBDPqC%2FRj7fhPEedSCOXPw%2FjpX%2Bva%2Bj31LbcwIN7dNutoRmk%2B5nIewDH%2F79dMDU2AubtQL2ihN2dQmS8p%2Bj7cWjB9YwnzFD1WTiE1nGQbnx6ljRcSIyt8e0TwJixNDCpQOp4HxKhTaH1hi5ZTE0N6TWofDEW4uPSDTh2XtZVlZkiKEmqImXZs%7Ctkp%3ABk9SR_Kt-ZPfYQ
New Lot 6-12 Pairs Mens Womens Ankle Socks Cotton Low Cut Casual Size 9-11 10-13,7.75 to 11.95,Brand New,https://www.ebay.com/itm/331263544311?hash=item4d20d88bf7:g:6PIAAOSwjbtahSW0&amdata=enc%3AAQAHAAAAwE7oUN%2Bk%2BMxAtqfeTxv3I5UtcXyvY5%2F70xTpc21oAzLR4YWVb5%2FU3nIUsSTnPm6dUgKlHdwsOdNMVMBc7Qa6c37gDTwnfVZeHl2flD8hAyKW6uWcDj2UKNA8%2Blh1GrgqN9Y7gLgPK4MFlhwjm%2BZr5ZieykNBYy7HVA7BEiDX9e5ZHBAoUmMJftdFh3flhjOLrnqTwUvsNfddSMtVvt%2F7kMp%2F5QNSnR8%2FqL1K4EUziWBo9gR%2F2o4dxg4w6qfbspy5Wg%3D%3D%7Ctkp%3ABk9SR_Kt-ZPfYQ
3-12 Pairs Health Circulatory Crew Cotton Diabetic Socks White 9-11 10-13 13-15,7.49 to 18.99,Brand New,https://www.ebay.com/itm/153903226239?hash=item23d558dd7f:g:aWcAAOSwRS1eb79k&amdata=enc%3AAQAHAAAA4LZRrX6F6GR6R22zr7UZRbwN6diertwSENcdCB2uJGhMlRFnvCU9F%2B5KNE1t64KnPOB%2FJuhrSQfeccnDt%2FJiKkmP%2FT1iiy%2BXRseBYdtNycK7dIdD95R5oB%2BBDSyTDksbywY1aRRzPEgcKbnrLyOs6HiJuGrzQMCryfmMjJt7OK3nnorEuyjj1zQVoATKMhIefd9TpuC7Xmu1sAJZef6iLnNcmRaxLt1u3dd4P7Yio7W5kTpAQlGuI6TQC6OPyC5WBawejty5tmhA2pIGKnhr%2Bv1G1wM5aZbylKG0GmQwhz%2FS%7Ctkp%3ABk9SR_Kt-ZPfYQ
Mens NIKE Everyday Performance PLUS ANKLE Socks Pick 1 - 3 - 6 Pairs Dri Fit NEW,9.77 to 38.24,New (Other),https://www.ebay.com/itm/234324606635?hash=item368ed5beab:g:PSEAAOSwVYFg-HFh&amdata=enc%3AAQAHAAAAwK%2FZ6FDJ%2B9haB7UYFTGsI3e5TUZSpE68n2BrZ3G%2BNCbbejyDcYf6t66n%2BztskxXKR8QMmheMoE24pWqs0SzLhIqXzW3MWK5pFzldqlOig9o70uenaVypWae8xKE5qt%2FnOKBVE1TfMNLfxPuEQM3aRCylAIY0chFZhtKe8AY8Y40FGi1GLNLt4u5qm1PDjSloKwRtlLYafpDdKhtA0Iz3zWP6zP85g9XcR%2FfOTqZomZvY4aTn2PLAF%2FyXMhRYNRRnOQ%3D%3D%7Ctkp%3ABk9SR_Kt-ZPfYQ
Hanes Men's Crew Socks Pack of 12 Cushion Comfort Cotton Fresh IQ size 6-12 NWT,18.83,Brand New,https://www.ebay.com/itm/142856835630?epid=13052096828&hash=item2142ee522e:g:r8EAAOSwDIpgK-Q1&amdata=enc%3AAQAHAAAA4GzsAfCxi0a8S%2FqDT9vHiBYBHh3fOweahWI816%2FI1bJe63G6z99w9PAzJ5pm0sHgDPxHGKp%2Fa%2BW%2FscC%2F0RO%2FVeVZd1rKs2beb5v2OO8idsI1Di82rGqBrVOKIlMyFRyTEUa%2BhbBFQ3EklgL8QUVKjz%2Bb5Ra%2F0aK83OyWg2GEsGBG8Ay7nzUoocyG4QwYMBocSVO6jO49LoIm7kqNWsxTIAotgHG%2FaJoLN%2F05WuO7%2B5ZNEyrR1JbnUdK%2BKXdRueeFn2%2B6Yq3TOZNwZOCdpafL0viNck5cyeeudGk2bwgF02Ay%7Ctkp%3ABk9SR_Kt-ZPfYQ
New 6 Pairs Mens Black Classic Dress Socks Calf Casual Fashion Crew Solid Sox,9.99,Brand New,https://www.ebay.com/itm/333324676679?hash=item4d9bb2ee47:g:FfEAAOSwMx5ddrO0&amdata=enc%3AAQAHAAAAwADhSr7%2FukGb0G1fTxqXxYHdOm3seOtTHCbtKlLWflieXXtgo8pcM4Ixqr0wCdVwEISxhwRyF8MbmGnx0eWH89Od4yDi1cPl5%2BcZf%2B6sFVcvLkTebqNmyzPQr1wvFc08d393R3eXO39uM5ZI0Lt3y09ISftDGz3vGi1jHog5HEB%2Fw0jBfSZrSrJ0WCQBqyobg4aTTzTbfuotURf9SkrQnnHxtP5JUYg40hskhNFTEFtnXSwI7E9Z2X9o95x05ECx6Q%3D%3D%7Ctkp%3ABk9SR_Kt-ZPfYQ
6 Pairs Mens Black Solid Sports Athletic Work Crew Long Cotton Socks Size 10-13,9.99,Brand New,https://www.ebay.com/itm/163078288492?hash=item25f839346c:g:XUgAAOSwj6lbEwro&amdata=enc%3AAQAHAAAAwGHTNOVCkbIoVbJnRO5Hm6V1RIcSbv9KRfVS0%2F43uDeRsIPdXk%2Bx%2BKitMPsrOTDHEu0Fl36s8AinWJwHRTpBW5u90MmjeinB8wTlKgCAV8apdpiqVia6HDTPHKULGZoqdp%2BeKuBNQeWEbYDbvZJEEMUbFRA709h2QhIUnz5Dq7ruT68E4otxYsWUmMTj9kP97qJngi1CA5hh4ZJTzeHNocNuMczpfIDMPE%2Fyqs1LQHg163yiLPvJ%2Fu%2BhQBJB8GS6cQ%3D%3D%7Ctkp%3ABk9SR_Kt-ZPfYQ
3 6 9 12 Pairs Mens Women Diabetic Health Quarter/Ankle Circulatory Cotton Socks,6.99 to 18.99,Brand New,https://www.ebay.com/itm/152764875455?hash=item23917f02bf:g:gOcAAOSwO7hZ9kge&amdata=enc%3AAQAHAAAAwER8hQHGOxGKIhOLkG7zrbgTD7nDzUJPTDGpFFE6XfvobXlEh5L8lsNe8%2B9OxJzc4NFIc8AMlhoJDrlNMLtm%2FnYEE%2BXs3%2FIwKveUrEA%2FcayKZi%2FmTjintVx6L4VJ%2BPFeHUnNElTAYT0BboXBczYMc9CiuWAtRoFYvJj2qkTIzdzkg9i%2B69JjTQaH2CmSWJs%2FSzWMm9sluukCF2kvQ%2BTPv4sCHfJdctscbCj%2FHYBLxddy6sgkt15SrqshsI5iBwD5Og%3D%3D%7Ctkp%3ABk9SR_Kt-ZPfYQ
USGI USOA Military Antimicrobial Boot Socks (3 Pack),14.95,Brand New,https://www.ebay.com/itm/303227545396?hash=item4699c52734:g:OBoAAOSw1p1kDBBf&amdata=enc%3AAQAHAAAA0NtmrQL0%2FGEtmCa0gxbuGeL4tA9Kre0PGsPLZoUjFZnPveVrmJ8lq5MhMbg40uepf3%2FWny%2Bu6LfYS%2Bony7BGLd8riP8QMWaLUVFTxjGYwRj3I6mgfR6uCVbyfHXsqdLi%2BXaEh0nuw3sBbKZR4Uo2H7A%2FT%2FOf8JdajNp3PuzVZjRz3EQGS6q2lCMtzTzz9b0RejixsSlr7puJccoZ3mucjcSKUVQutHs2AdkJBD0mTV6b%2FpxWk2Id35JBMKeu7QpUYsXbChIXWdmdtBBMiB%2BX9vg%3D%7Ctkp%3ABFBM8q35k99h
"MEN Thin Diabetic Ankle BAMBOO Socks, Solid Colors, MEDIUM, Casual, 4-Pair",18.00 to 33.00,Brand New,https://www.ebay.com/itm/264461506940?epid=9048236714&hash=item3d9322597c:g:Bh4AAOSwnLdjkv-K&amdata=enc%3AAQAHAAAA0Htq15A73ntSRYL2ZRbSTZ2ldl%2B9wKtJn5814aE3zVYVX8FqQ0i%2BmjazCELKakl8Nf1lzIRPCas%2BOyYBwNNgGqWkFc9Bdf%2BW7%2BdpmS5rGPGr3c%2B6de1%2FOxlBBSyRBmzS7%2BO1j5V2Qruyot5uTPGCjtcsi7UGnmzq%2BBYD37aaGju99cvfyqBgSX4L9Wt9Us7nH6iJqHrLcQz%2B2%2FLMETtyUUfOwUUrjI2K1Wfgy4GKaaaeSgeBx3cdbRjyvwQ77G2Zg1popbFFkWiWaWfHidTNfMw%3D%7Ctkp%3ABFBM8q35k99h
Lot 3-12 Pairs Mens Cotton Athletic Sports Work Crew Solid Socks Size 9-11 10-13,6.99 to 17.99,Brand New,https://www.ebay.com/itm/153536585087?hash=item23bf7e5d7f:g:roMAAOSw7J1dC9YY&amdata=enc%3AAQAHAAAA0AoPE1VPwShfMdhLkxyuropdhjwChaPPShvW0gX98TdZaYOddgVwnl4Tu40OTDPWyii4r0fUbkxDA%2BmEYkpBHSAitKxkfR3HvAc9m%2BnQDkGDn3GDUw%2BBd784xlT2R9860XrZszMX0n63Cg3PcDK9hc%2FGt%2FTu61V1%2BgY%2F9tV7hvTN2zHgu2UJCYlKvkcb3xA2smTqzDrLxkvDlzNW1UDKVKNERWjcwGdQkgh%2FcNfEaRIahraraBkPAIF3oOoZnv%2BQixxbZIOhZqr3B%2FWJ61BgXOI%3D%7Ctkp%3ABFBM8q35k99h
